unlocode,country,location_code,name,name_ascii,subdivision,latitude,longitude
CAW4C,CA,W4C,Saint-Gédéon,Saint-Gedeon,QC,48.483333333333334,-71.78333333333333
CAWDR,CA,WDR,Windsor,Windsor,NS,44.983333333333334,-64.13333333333334
CAWHH,CA,WHH,Whiffen Head,Whiffen Head,NL,47.75,-54.03333333333333
CAWTN,CA,WTN,Walton,Walton,NS,45.21666666666667,-64.01666666666667
CAWTO,CA,WTO,Westport,Westport,ON,44.68333333333333,-76.4
CAWVR,CA,WVR,West Vancouver,West Vancouver,BC,49.333333333333336,-123.15
CAWWO,CA,WWO,Wildwood,Wildwood,AB,53.61666666666667,-115.23333333333333
CAXJH,CA,XJH,Saint-Joseph-de-Beauce,Saint-Joseph-de-Beauce,QC,46.3,-70.86666666666666
CAXVX,CA,XVX,Emerald Park,Emerald Park,SK,50.733333333333334,-104.63333333333334
CAXZC,CA,XZC,Saint-Isidore d'Auckland,Saint-Isidore d'Auckland,QC,45.266666666666666,-71.51666666666667
CAYCB,CA,YCB,Cambridge Bay,Cambridge Bay,NU,69.11666666666666,-105.08333333333333
CAYCS,CA,YCS,Chesterfield Inlet,Chesterfield Inlet,NU,63.333333333333336,-90.7
CAYDH,CA,YDH,Daniels Harbour,Daniels Harbour,NL,50.233333333333334,-57.583333333333336
CAYEK,CA,YEK,Arviat,Arviat,NU,61.1,-94.05
CAYGZ,CA,YGZ,Grise Fiord,Grise Fiord,NU,76.41666666666667,-82.95
CAYHK,CA,YHK,Gjoa Haven,Gjoa Haven,NU,68.61666666666666,-95.83333333333333
CAYMD,CA,YMD,Mould Bay,Mould Bay,NT,76.23333333333333,-119.35
CAYMH,CA,YMH,Mary's Harbour,Mary's Harbour,NL,52.31666666666667,-55.833333333333336
CAYWM,CA,YWM,Williams Harbour,Williams Harbour,NL,52.55,-55.78333333333333
CAYXN,CA,YXN,Whale Cove,Whale Cove,NU,62.166666666666664,-92.58333333333333
CAYZS,CA,YZS,Coral Harbour,Coral Harbour,NU,64.13333333333334,-83.16666666666667
CAZCR,CA,ZCR,Saint-Charles-sur-Richelieu,Saint-Charles-sur-Richelieu,QC,45.68333333333333,-73.18333333333334
CAZFT,CA,ZFT,Forest,Forest,ON,43.1,-82.0
CAZTI,CA,ZTI,Saint-Tite,Saint-Tite,QC,46.733333333333334,-72.56666666666666
CAZYE,CA,ZYE,Yamachiche,Yamachiche,QC,46.28333333333333,-72.83333333333333
CCCCK,CC,CCK,Cocos Islands,Cocos Islands,,-12.0,96.83333333333333
CDBNW,CD,BNW,Banana,Banana,,6.016666666666667,12.4
CDMHB,CD,MHB,Moho Bilondo,Moho Bilondo,,-5.916666666666667,10.25
CDMKL,CD,MKL,Makala,Makala,,2.8166666666666664,24.716666666666665
CFTOG,CF,TOG,Togo,Togo,,5.5,21.716666666666665
CGMOS,CG,MOS,Mossaka,Mossaka,,-1.2166666666666668,16.8
CGNKO,CG,NKO,N'Kossa Terminal,N'Kossa Terminal,,-5.233333333333333,11.6
CGOYO,CG,OYO,Oyo,Oyo,,1.0,15.9
CGPNR,CG,PNR,Pointe Noire,Pointe Noire,16,-4.8,11.85
CGYOM,CG,YOM,Yombo,Yombo,9,-2.9333333333333336,12.7
CHBA8,CH,BA8,Ballwil,Ballwil,LU,47.15,8.316666666666666
CHBIB,CH,BIB,Biberist,Biberist,SO,47.18333333333333,7.566666666666666
CHBIR,CH,BIR,Birrwil,Birrwil,AG,47.28333333333333,8.2
CHBLY,CH,BLY,Blonay,Blonay,VD,46.46666666666667,6.9
CHBRU,CH,BRU,Brunnen,Brunnen,SZ,46.983333333333334,8.6
CHBRZ,CH,BRZ,Bad Ragaz,Bad Ragaz,SG,47.0,9.5
CHBSM,CH,BSM,Bretigny-sur-Morrens,Bretigny-sur-Morrens,VD,46.6,6.633333333333333
CHBTT,CH,BTT,Brutten,Brutten,ZH,47.46666666666667,8.666666666666666
